Model Number,Transformation,Proportion,K,Time Limit,Optimizer Distance,Model,WCSS,WCSS Raw,Silhouette,Silhouette Raw
239,scaled,0.25,4,30,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
240,scaled,0.25,4,30,euclidean,Optimal with Warm Start,86.239,131484.904,0.604,0.194
241,scaled,0.25,4,90,manhattan,Base,534.788,157552.770,0.604,0.194
242,scaled,0.25,4,90,manhattan,Optimal without Warm Start,870.924,161452.661,0.454,0.205
243,scaled,0.25,4,90,manhattan,Optimal with Warm Start,473.963,158714.700,0.544,0.241
244,scaled,0.25,4,90,euclidean,Base,86.239,131484.904,0.604,0.194
245,scaled,0.25,4,90,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
246,scaled,0.25,4,90,euclidean,Optimal with Warm Start,86.239,131484.904,0.604,0.194
247,scaled,0.25,4,180,manhattan,Base,534.788,157552.770,0.604,0.194
248,scaled,0.25,4,180,manhattan,Optimal without Warm Start,493.460,158495.345,0.473,0.126
249,scaled,0.25,4,180,manhattan,Optimal with Warm Start,473.963,158714.700,0.544,0.241
250,scaled,0.25,4,180,euclidean,Base,86.239,131484.904,0.604,0.194
251,scaled,0.25,4,180,euclidean,Optimal without Warm Start,214.299,131623.321,0.578,0.406
252,scaled,0.25,4,180,euclidean,Optimal with Warm Start,86.239,131484.904,0.604,0.194
253,scaled,0.25,5,30,manhattan,Base,292.638,156167.569,0.565,0.216
254,scaled,0.25,5,30,manhattan,Optimal without Warm Start,1968.762,170373.264,0.038,0.140
255,scaled,0.25,5,30,manhattan,Optimal with Warm Start,304.790,157155.467,0.567,0.216
256,scaled,0.25,5,30,euclidean,Base,51.973,131303.464,0.565,0.216
257,scaled,0.25,5,30,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
258,scaled,0.25,5,30,euclidean,Optimal with Warm Start,51.973,131303.464,0.565,0.216
259,scaled,0.25,5,90,manhattan,Base,292.638,156167.569,0.565,0.216
260,scaled,0.25,5,90,manhattan,Optimal without Warm Start,738.222,160366.905,0.419,0.205
261,scaled,0.25,5,90,manhattan,Optimal with Warm Start,303.135,157148.297,0.574,0.230
262,scaled,0.25,5,90,euclidean,Base,51.973,131303.464,0.565,0.216
263,scaled,0.25,5,90,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
264,scaled,0.25,5,90,euclidean,Optimal with Warm Start,51.973,131303.464,0.565,0.216
265,scaled,0.25,5,180,manhattan,Base,292.638,156167.569,0.565,0.216
266,scaled,0.25,5,180,manhattan,Optimal without Warm Start,515.013,158582.450,0.356,0.140
267,scaled,0.25,5,180,manhattan,Optimal with Warm Start,303.135,157148.297,0.574,0.230
268,scaled,0.25,5,180,euclidean,Base,51.973,131303.464,0.565,0.216
269,scaled,0.25,5,180,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
270,scaled,0.25,5,180,euclidean,Optimal with Warm Start,51.973,131303.464,0.565,0.216
271,scaled,0.75,3,30,manhattan,Base,2548.889,405720.840,0.596,0.131
272,scaled,0.75,3,30,manhattan,Optimal without Warm Start,6284.911,441987.726,0.355,0.357
273,scaled,0.75,3,30,manhattan,Optimal with Warm Start,2548.889,405720.840,0.596,0.131
274,scaled,0.75,3,30,euclidean,Base,398.584,323680.118,0.596,0.131
275,scaled,0.75,3,30,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
276,scaled,0.75,3,30,euclidean,Optimal with Warm Start,398.584,323680.118,0.596,0.131
277,scaled,0.75,3,90,manhattan,Base,2548.889,405720.840,0.596,0.131
278,scaled,0.75,3,90,manhattan,Optimal without Warm Start,5876.727,440505.139,0.907,0.861
279,scaled,0.75,3,90,manhattan,Optimal with Warm Start,2548.889,405720.840,0.596,0.131
280,scaled,0.75,3,90,euclidean,Base,398.584,323680.118,0.596,0.131
281,scaled,0.75,3,90,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
282,scaled,0.75,3,90,euclidean,Optimal with Warm Start,398.584,323680.118,0.596,0.131
283,scaled,0.75,3,180,manhattan,Base,2548.889,405720.840,0.596,0.131
284,scaled,0.75,3,180,manhattan,Optimal without Warm Start,5876.727,440505.139,0.907,0.861
285,scaled,0.75,3,180,manhattan,Optimal with Warm Start,2548.889,405720.840,0.596,0.131
286,scaled,0.75,3,180,euclidean,Base,398.584,323680.118,0.596,0.131
287,scaled,0.75,3,180,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
288,scaled,0.75,3,180,euclidean,Optimal with Warm Start,398.584,323680.118,0.596,0.131
289,scaled,0.75,4,30,manhattan,Base,1191.831,398424.615,0.565,0.225
290,scaled,0.75,4,30,manhattan,Optimal without Warm Start,6172.997,442551.077,0.233,0.233
291,scaled,0.75,4,30,manhattan,Optimal with Warm Start,1191.831,398424.615,0.565,0.225
292,scaled,0.75,4,30,euclidean,Base,203.978,322970.137,0.565,0.225
293,scaled,0.75,4,30,euclidean,Optimal without Warm Start,-15095.000,-15095.000,-15095.000,-15095.000
294,scaled,0.75,4,30,euclidean,Optimal with Warm Start,203.978,322970.137,0.565,0.225
295,scaled,0.75,4,90,manhattan,Base,1191.831,398424.615,0.565,0.225
296,scaled,0.75,4,90,manhattan,Optimal without Warm Start,5936.008,440385.730,-0.302,-0.302
297,scaled,0.75,4,90,manhattan,Optimal with Warm Start,1191.831,398424.615,0.565,0.225
