DatasetName,proportion,k,time_limit,distance,case,WCSS,WCSS_RAW,Silhouette,Silhouette_RAW
normalized,0.75,5,90,manhattan,Optimal without Warm Start,209545.51253954018,642093.5112209127,0.18491484558001398,0.170422619832088
normalized,0.75,5,90,manhattan,Optimal with Warm Start,35546.56401080283,783690.7828249787,0.4146369561746553,0.1609282473265174
normalized,0.75,5,90,euclidean,Base,7095.365242437687,354986.41436996165,0.47152406740973174,0.20267367794665941
normalized,0.75,5,90,euclidean,Optimal without Warm Start,-15095.0,-15095.0,-15095.0,-15095.0
normalized,0.75,5,90,euclidean,Optimal with Warm Start,6750.436168424625,353039.59775714314,0.4146369561746553,0.1609282473265174
normalized,0.75,5,180,manhattan,Base,38142.49498830947,787504.3203059267,0.47152406740973174,0.20267367794665941
normalized,0.75,5,180,manhattan,Optimal without Warm Start,208032.4645822339,641296.8969988818,0.1835077312090725,0.17035132029744868
normalized,0.75,5,180,manhattan,Optimal with Warm Start,35530.3395942193,783908.6477349895,0.41401844739047183,0.1605214434526836
normalized,0.75,5,180,euclidean,Base,7095.365242437687,354986.41436996165,0.47152406740973174,0.20267367794665941
normalized,0.75,5,180,euclidean,Optimal without Warm Start,43640.22735741472,382780.8560324197,0.2503939830839636,0.21207829887281732
normalized,0.75,5,180,euclidean,Optimal with Warm Start,6750.436168424625,353039.59775714314,0.4146369561746553,0.1609282473265174
scaled,0.1,3,30,manhattan,Base,246.9823354328416,67458.94651848817,0.7219488017406263,0.3843367648498528
scaled,0.1,3,30,manhattan,Optimal without Warm Start,257.95160900769736,68144.08924997193,0.5953290383555152,0.5321559523587085
scaled,0.1,3,30,manhattan,Optimal with Warm Start,238.1032186783167,67806.76437667431,0.650504961410231,0.5304698591757332
scaled,0.1,3,30,euclidean,Base,39.745383602521784,55539.787413383514,0.7219488017406263,0.3843367648498528
scaled,0.1,3,30,euclidean,Optimal without Warm Start,83.60825102093715,55461.40941227252,0.28803808245187573,0.07666407876415661
scaled,0.1,3,30,euclidean,Optimal with Warm Start,39.74538360252249,55539.787413383645,0.7273563813925518,0.5581859574613498
scaled,0.1,3,90,manhattan,Base,246.9823354328416,67458.94651848817,0.7219488017406263,0.3843367648498528
scaled,0.1,3,90,manhattan,Optimal without Warm Start,236.75029167078617,68338.3378346457,0.632379622093749,0.5364299092303784
scaled,0.1,3,90,manhattan,Optimal with Warm Start,238.1032186783167,67806.76437667431,0.650504961410231,0.5304698591757332
scaled,0.1,3,90,euclidean,Base,39.745383602521784,55539.787413383514,0.7219488017406263,0.3843367648498528
scaled,0.1,3,90,euclidean,Optimal without Warm Start,42.9906369000137,55538.06878633689,0.6304616554797371,0.2832036535909042
scaled,0.1,3,90,euclidean,Optimal with Warm Start,39.90292400361197,55536.152611190744,0.7245210078624835,0.5556816720693026
scaled,0.1,3,180,manhattan,Base,246.9823354328416,67458.94651848817,0.7219488017406263,0.3843367648498528
scaled,0.1,3,180,manhattan,Optimal without Warm Start,233.5254548796562,68083.58819207593,0.6492356364351791,0.5370700123340758
scaled,0.1,3,180,manhattan,Optimal with Warm Start,230.07708054213958,67589.31768634882,0.637301748662312,0.5248710955321062
scaled,0.1,3,180,euclidean,Base,39.745383602521784,55539.787413383514,0.7219488017406263,0.3843367648498528
scaled,0.1,3,180,euclidean,Optimal without Warm Start,41.65098055655912,55409.4143143958,0.655916829052098,0.3079418512261805
scaled,0.1,3,180,euclidean,Optimal with Warm Start,39.90292400361197,55536.152611190744,0.7245210078624835,0.5556816720693026
scaled,0.1,4,30,manhattan,Base,208.7342488482868,67017.25565578786,0.5701432776046531,0.08929243132268642
scaled,0.1,4,30,manhattan,Optimal without Warm Start,243.43956201118357,67327.49843999973,0.48463138369282627,0.4379972135939445
scaled,0.1,4,30,manhattan,Optimal with Warm Start,199.25051237923813,66988.70745608449,0.639276555323096,0.5207438584006303
scaled,0.1,4,30,euclidean,Base,34.1937064568948,55480.859911546555,0.5701432776046531,0.08929243132268642
scaled,0.1,4,30,euclidean,Optimal without Warm Start,192.03426269862987,55863.140444066055,0.26076932596904356,0.22231043576584836
scaled,0.1,4,30,euclidean,Optimal with Warm Start,33.518105630523834,55490.66441145684,0.6791231565981202,0.5347277078297826
scaled,0.1,4,90,manhattan,Base,208.7342488482868,67017.25565578786,0.5701432776046531,0.08929243132268642
scaled,0.1,4,90,manhattan,Optimal without Warm Start,212.6955839246084,66818.8674814635,0.5187486161518303,0.4558606571267149
scaled,0.1,4,90,manhattan,Optimal with Warm Start,198.74973492652813,66986.71475930931,0.6394977942461885,0.5225521157753251
scaled,0.1,4,90,euclidean,Base,34.1937064568948,55480.859911546555,0.5701432776046531,0.08929243132268642
scaled,0.1,4,90,euclidean,Optimal without Warm Start,29.418200878463278,55596.95989690873,0.6450242163297402,0.32339655441134946
scaled,0.1,4,90,euclidean,Optimal with Warm Start,33.67046669488341,55475.95310691691,0.6750864115252536,0.5339979305666673
scaled,0.1,4,180,manhattan,Base,208.7342488482868,67017.25565578786,0.5701432776046531,0.08929243132268642
scaled,0.1,4,180,manhattan,Optimal without Warm Start,212.24388150698695,66795.73196156963,0.5221088605862798,0.4580730552332506
scaled,0.1,4,180,manhattan,Optimal with Warm Start,201.22623294905574,67117.29295000058,0.6382021807307974,0.5221670697407638
scaled,0.1,4,180,euclidean,Base,34.1937064568948,55480.859911546555,0.5701432776046531,0.08929243132268642
scaled,0.1,4,180,euclidean,Optimal without Warm Start,27.682920121452362,55391.89796448151,0.6358256225471437,0.3027865153384501
scaled,0.1,4,180,euclidean,Optimal with Warm Start,33.67046669488341,55475.95310691691,0.6750864115252536,0.5339979305666673
scaled,0.1,5,30,manhattan,Base,118.4086009973669,66212.11013315798,0.5181894558964957,0.10843720880211136
scaled,0.1,5,30,manhattan,Optimal without Warm Start,309.72510338591366,68151.06037620168,0.36887319420069203,0.23904615827609513
scaled,0.1,5,30,manhattan,Optimal with Warm Start,187.8937251248206,66991.28987127532,0.6527571660192961,0.48713134479135367
scaled,0.1,5,30,euclidean,Base,21.281504795230695,55302.03612644087,0.5181894558964957,0.10843720880211136
scaled,0.1,5,30,euclidean,Optimal without Warm Start,100.77388914259237,55282.97257099971,0.39758487915868157,0.18822976260707483
scaled,0.1,5,30,euclidean,Optimal with Warm Start,31.159619036539187,55494.2687942857,0.6527571660192961,0.48713134479135367
scaled,0.1,5,90,manhattan,Base,118.4086009973669,66212.11013315798,0.5181894558964957,0.10843720880211136
scaled,0.1,5,90,manhattan,Optimal without Warm Start,163.16480411420503,66810.66841947829,0.5108294001356364,0.18153650773385724
scaled,0.1,5,90,manhattan,Optimal with Warm Start,158.57413305749802,66922.3494099095,0.623442659394823,0.33904305918027167
scaled,0.1,5,90,euclidean,Base,21.281504795230695,55302.03612644087,0.5181894558964957,0.10843720880211136
scaled,0.1,5,90,euclidean,Optimal without Warm Start,22.681619519135886,55510.2749786142,0.45990116046259666,0.14531066871617118
scaled,0.1,5,90,euclidean,Optimal with Warm Start,31.15961903653954,55494.26879428569,0.6527571660192961,0.48713134479135367
